ticker,날짜,O,H,L,C,V
1028,2006-01-02,177.79,178.33,176.05,178.29,148418062
1028,2006-01-03,178.69,178.86,176.53,178.81,158041438
1028,2006-01-04,180.57,181.01,179.49,179.91,188840632
1028,2006-01-05,180.31,180.31,176.84,178.82,206331692
1028,2006-01-06,179.33,180.87,178.79,180.87,206313385
1028,2006-01-09,181.95,181.99,179.82,180.3,191221687
1028,2006-01-10,180.92,181.62,177.88,178.98,182810708
1028,2006-01-11,178.67,179.5,177.42,178.67,210165332
1028,2006-01-12,179.33,180.91,179.23,179.65,174516054
1028,2006-01-13,179.2,181.71,177.82,181.71,164021065
1028,2006-01-16,182.56,182.78,180.72,182.39,161264330
1028,2006-01-17,182.62,183.02,178.24,178.27,179089422
1028,2006-01-18,176.82,176.95,171.46,173.81,214269968
1028,2006-01-19,174.39,175.8,173.26,174.93,158267382
1028,2006-01-20,176.04,177.14,170.22,170.6,196215378
1028,2006-01-23,168.55,171.32,166.62,168.04,194867801
1028,2006-01-24,169.39,172.09,167.73,171.79,202230077
1028,2006-01-25,173.56,174.78,172.66,173.52,193872744
1028,2006-01-26,174.45,174.72,171.72,174.71,146078715
1028,2006-01-27,176.69,178.65,175.88,178.64,151204298
1028,2006-01-31,179.46,181.21,178.14,180.65,133174511
1028,2006-02-01,179.4,180.69,176.98,178.07,156566428
1028,2006-02-02,179.52,179.79,175.79,177.92,148308349
1028,2006-02-03,175.8,176.48,172.35,172.67,153799304
1028,2006-02-06,171.77,173.77,169.27,173.66,143668314
1028,2006-02-07,173.66,175.07,172.07,172.39,123072774
1028,2006-02-08,171.5,173.93,169.16,169.44,140058894
1028,2006-02-09,171.5,172.01,169.84,170.93,124130230
1028,2006-02-10,171.9,173.29,169.99,172.68,126671230
1028,2006-02-13,173.15,173.17,169.04,170.61,114299114
1028,2006-02-14,169.89,171.93,168.29,171.65,102969426
1028,2006-02-15,173.46,173.47,167.84,168.31,154390791
1028,2006-02-16,168.8,170.64,167.72,169.8,118925978
1028,2006-02-17,171.3,172.47,169.93,172.4,101805866
1028,2006-02-20,172.78,175.62,171.7,174.28,132132814
1028,2006-02-21,174.56,174.88,173.07,174.04,106201950
1028,2006-02-22,173.85,175.49,171.0,173.26,111840678
1028,2006-02-23,174.29,176.33,174.01,176.18,126845264
1028,2006-02-24,176.61,177.13,175.23,176.96,120907845
1028,2006-02-27,176.81,178.11,176.12,178.1,96007666
1028,2006-02-28,178.37,178.69,176.43,177.45,96131471
1028,2006-03-02,178.3,178.4,176.83,176.85,158515480
1028,2006-03-03,176.52,176.78,171.19,171.67,136904619
1028,2006-03-06,172.23,173.86,171.01,173.86,109493410
1028,2006-03-07,172.78,172.78,169.75,170.13,110354694
1028,2006-03-08,168.35,170.91,167.39,169.76,113958004
1028,2006-03-09,169.72,171.11,169.17,169.17,109205559
1028,2006-03-10,169.82,171.65,168.9,170.37,87634580
1028,2006-03-13,172.04,172.84,171.45,172.82,96213573
1028,2006-03-14,173.07,173.16,169.71,171.1,91460174
1028,2006-03-15,172.59,173.4,171.95,172.28,89688003
1028,2006-03-16,173.27,174.29,172.2,172.66,89187219
1028,2006-03-17,172.1,173.81,170.59,173.48,79657633
1028,2006-03-20,173.36,174.81,172.64,174.26,76536130
1028,2006-03-21,174.31,174.47,172.61,172.87,78750244
1028,2006-03-22,171.52,171.53,168.67,169.28,93824585
1028,2006-03-23,170.81,171.7,168.09,169.68,103445855
1028,2006-03-24,169.61,170.86,168.47,170.86,104065659
1028,2006-03-27,170.41,173.06,170.36,172.44,105503266
1028,2006-03-28,172.14,173.17,171.48,172.77,93250738
1028,2006-03-29,171.12,173.55,170.46,172.96,93904678
1028,2006-03-30,173.78,174.32,172.77,173.61,86752516
1028,2006-03-31,173.61,176.37,173.35,176.21,111995141
1028,2006-04-03,176.45,179.22,176.36,178.89,127407354
1028,2006-04-04,178.92,180.23,178.21,179.77,118034333
1028,2006-04-05,180.28,181.03,179.26,179.97,134180116
1028,2006-04-06,181.13,182.42,179.88,181.1,151152736
1028,2006-04-07,181.19,181.97,180.34,181.97,108613203
1028,2006-04-10,180.86,181.94,180.42,181.31,89557657
1028,2006-04-11,180.88,181.19,177.84,179.61,119983196
1028,2006-04-12,178.23,179.19,177.69,179.13,88644796
1028,2006-04-13,179.11,181.91,178.75,181.91,103686101
1028,2006-04-14,182.55,185.95,181.88,185.67,123902279
1028,2006-04-17,185.95,186.21,183.5,184.3,91209959
1028,2006-04-18,183.35,185.84,183.28,184.9,100400997
1028,2006-04-19,187.4,188.06,185.91,186.34,143413344
1028,2006-04-20,186.59,187.39,185.41,185.86,115475924
1028,2006-04-21,186.67,189.18,186.15,188.2,120789841
1028,2006-04-24,187.71,187.71,184.72,185.41,101980677
1028,2006-04-25,184.84,186.94,183.93,185.54,105976381
1028,2006-04-26,185.89,188.34,185.49,188.34,104443087
1028,2006-04-27,188.8,189.29,187.51,188.4,138482929
1028,2006-04-28,187.1,187.1,183.23,184.1,135416258
1028,2006-05-02,184.13,186.19,182.64,186.17,124184791
1028,2006-05-03,186.92,188.61,186.02,186.03,128420326
1028,2006-05-04,186.23,187.09,184.67,186.98,111335865
1028,2006-05-08,189.44,189.79,188.32,188.79,110427712
1028,2006-05-09,188.75,189.99,188.04,188.51,108354824
1028,2006-05-10,188.33,189.18,187.3,188.62,97567604
1028,2006-05-11,188.25,190.2,187.65,190.2,92167920
1028,2006-05-12,188.06,188.79,185.22,187.27,94188253
1028,2006-05-15,184.41,184.42,182.07,183.08,107828639
1028,2006-05-16,183.32,183.39,177.85,179.0,121194528
1028,2006-05-17,179.72,182.04,179.71,181.69,106464628
1028,2006-05-18,176.26,177.47,175.79,177.18,112815704
1028,2006-05-19,177.13,177.95,174.58,177.94,99886363
1028,2006-05-22,178.42,178.43,173.55,173.6,92008310
