date,open,high,low,close,volume
2019-01-02,49953.41,51669.3,49749.84,51652.35,842215
2019-01-03,51652.26,52571.29,51126.61,51664.72,1120099
2019-01-04,51646.99,51907.97,50877.97,51011.29,951450
2019-01-07,51067.87,51131.14,49457.69,49593.81,694695
2019-01-08,49609.12,51455.27,48602.51,51256.83,990922
2019-01-09,51215.29,52387.26,49217.63,49739.59,916705
2019-01-10,49846.28,50669.28,48853.0,49115.98,587117
2019-01-11,48997.69,49714.02,47504.51,48358.6,934117
2019-01-14,48341.2,49442.98,47977.26,49163.7,658332
2019-01-15,49201.38,50307.22,47309.12,47436.92,895079
2019-01-16,47459.43,49333.78,47339.56,49283.79,973524
2019-01-17,49142.35,49388.86,48801.71,48848.01,1238617
2019-01-18,48661.76,48710.24,47491.46,48312.55,923315
2019-01-21,48197.22,48703.3,47206.95,47349.09,764003
2019-01-22,47322.32,48802.19,46641.71,48749.22,1300663
2019-01-23,48781.59,49140.14,48490.1,48583.79,644397
2019-01-24,48670.7,49522.65,48221.2,49317.73,960794
2019-01-25,49288.17,49927.38,47970.52,48715.67,1133883
2019-01-28,48781.59,49332.76,48744.68,49326.72,865270
2019-01-29,49549.67,49980.28,49334.86,49504.22,905614
2019-01-30,49541.28,49735.26,47991.91,48694.63,1097267
2019-01-31,48833.58,48910.17,47457.72,48287.16,908374
2019-02-01,48316.11,48826.31,47775.6,48047.49,753295
2019-02-04,48049.63,48441.97,47738.22,48235.01,1349515
2019-02-05,48153.4,48460.19,47724.64,47787.06,984837
2019-02-06,47833.76,48766.77,47372.55,48590.78,1056727
2019-02-07,48555.57,48808.53,47865.59,47966.18,784403
2019-02-08,47974.64,48615.83,45323.71,46226.04,1074666
2019-02-11,46271.9,46517.54,45111.25,45623.12,751296
2019-02-12,45598.18,45973.66,45010.82,45137.7,692779
2019-02-13,44975.78,45085.04,44662.17,44997.81,1218387
2019-02-14,44857.75,46756.87,44316.64,46404.79,1196111
2019-02-15,46443.0,47306.87,44906.49,45589.08,1095267
2019-02-18,45525.57,46818.78,45038.04,46547.43,837558
2019-02-19,46565.33,46607.69,45376.57,45813.69,811944
2019-02-20,45901.75,46159.16,45183.86,45790.41,1133040
2019-02-21,45825.71,45963.5,44842.87,45396.4,1023311
2019-02-22,45272.02,45603.03,43489.93,43602.57,1227595
2019-02-25,43537.25,44257.97,43185.73,43784.05,589472
2019-02-26,43616.73,45714.87,43207.23,45425.77,1029413
2019-02-27,45517.99,46174.15,43403.47,43994.59,927666
2019-02-28,44021.0,45086.63,43825.7,44724.02,965563
2019-03-01,44695.68,44960.78,43574.95,43705.99,1095091
2019-03-04,43654.21,43671.31,43095.74,43179.89,1118477
2019-03-05,43330.18,43606.19,43231.71,43510.69,791973
2019-03-06,43570.11,43938.99,43548.47,43616.1,1143711
2019-03-07,43570.81,43994.8,43444.17,43486.36,1079312
2019-03-08,43585.98,44788.22,43356.96,44633.25,1056861
2019-03-11,44463.66,45030.73,44363.66,44372.25,1147275
2019-03-12,44486.57,44748.27,43422.88,43469.69,719715
2019-03-13,43449.71,43530.25,43140.69,43330.7,1012069
2019-03-14,43290.13,44600.79,43281.86,44160.94,1125673
2019-03-15,44232.82,46161.26,44066.04,45360.44,1292074
2019-03-18,45313.63,45537.88,45085.59,45397.53,1127822
2019-03-19,45524.0,45766.96,45194.46,45539.49,1120926
2019-03-20,45487.71,46563.97,44439.14,46366.55,1180681
2019-03-21,46169.73,46986.37,45552.92,45654.71,1152131
2019-03-22,45697.78,46201.15,45031.55,45643.8,1177144
2019-03-25,45641.02,46708.91,45206.88,46117.64,915946
2019-03-26,46287.15,47269.06,45509.75,47265.08,879497
2019-03-27,47248.65,48344.43,47126.76,47588.6,1186549
2019-03-28,47581.9,48244.68,46876.12,47469.35,700482
2019-03-29,47355.74,47993.29,46619.88,46764.71,827181
2019-04-01,47032.3,47319.24,46128.3,46482.51,1060861
2019-04-02,46503.12,47552.82,45964.06,47124.64,1119228
2019-04-03,46969.93,47519.95,46583.21,46947.21,951809
2019-04-04,46968.94,47291.62,46122.27,46752.64,1064503
2019-04-05,46789.17,47463.5,45425.46,45470.57,972871
2019-04-08,45373.78,47683.98,45080.58,47018.69,775253
2019-04-09,47058.26,47421.54,45759.22,46531.43,852665
2019-04-10,46715.9,49309.32,45645.44,49209.17,983377
2019-04-11,48982.88,49119.54,48884.84,49083.3,842857
2019-04-12,49181.99,50070.13,49069.13,49827.88,869041
2019-04-15,49835.8,50096.65,48805.21,49081.68,557266
2019-04-16,48924.96,49587.92,48054.57,49527.5,996634
2019-04-17,49382.76,49960.77,48229.16,48237.33,1107947
